iShares Core S&P/TSX Capped Composite Index ETF,,,,,,,,,,,,,,,
Fund Holdings as of,31-Dec-20,,,,,,,,,,,,,,
Inception Date,16-Feb-01,,,,,,,,,,,,,,
Total Net Assets ($000s),"7,280,173,716.62",,,,,,,,,,,,,,
Shares Outstanding,"263,000,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Sector,Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Location of Risk,Currency,Market Currency,FX Rate
Consumer Staples,L,LOBLAW COMPANIES LTD,0.41,62.81,"477,238.00","29,975,318.78","29,975,318.78",Consumer Staples,2521800,539481101,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,CAE,CAE INC,0.4,35.27,"815,446.00","28,760,780.42","28,760,780.42",Industrials,2162760,124765108,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,RBA,RITCHIE BROS AUCTIONEERS INC,0.39,88.48,"321,670.00","28,461,361.60","28,461,361.60",Industrials,2345390,767744105,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,CTC.A,CANADIAN TIRE LTD CLASS A,0.39,167.33,"168,726.00","28,232,921.58","28,232,921.58",Consumer Discretionary,2172286,136681202,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,PAAS,PAN AMERICAN SILVER CORP,0.37,43.9,"617,911.00","27,126,292.90","27,126,292.90",Materials,2669272,697900108,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,H,HYDRO ONE LTD,0.35,28.65,"895,978.00","25,669,769.70","25,669,769.70",Utilities,BYYXJY9,448811208,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,WSP,WSP GLOBAL INC,0.35,120.59,"210,328.00","25,363,453.52","25,363,453.52",Industrials,BHR3R21,92938W202,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,CCL.B,CCL INDUSTRIES INC CLASS B,0.35,57.79,"436,616.00","25,232,038.64","25,232,038.64",Materials,2159795,124900309,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,CAR.UN,CANADIAN APARTMENT PROPERTIES REAL,0.35,49.99,"503,314.00","25,160,666.86","25,160,666.86",Real Estate,2117599,134921105,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,SAP,SAPUTO INC,0.34,35.63,"699,421.00","24,920,370.23","24,920,370.23",Consumer Staples,2112226,802912105,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,NPI,NORTHLAND POWER INC,0.33,45.67,"527,927.00","24,110,426.09","24,110,426.09",Utilities,B68XHC3,666511100,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,GWO,GREAT WEST LIFECO INC,0.33,30.35,"790,955.00","24,005,484.25","24,005,484.25",Financials,2384951,39138C106,Toronto Stock Exchange,Canada,CAD,CAD,1
Health Care,BHC,BAUSCH HEALTH COMPANIES INC,0.33,26.41,"908,177.00","23,984,954.57","23,984,954.57",Health Care,BFFY852,71734107,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,CVE,CENOVUS ENERGY INC,0.32,7.75,"2,998,304.00","23,236,856.00","23,236,856.00",Energy,B57FG04,15135U109,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,AC,AIR CANADA VOTING AND VARIABLE VOT,0.31,22.77,"976,461.00","22,234,016.97","22,234,016.97",Industrials,BSDHYK1,8911877,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,BTO,B2GOLD CORP,0.3,7.13,"3,086,867.00","22,009,361.71","22,009,361.71",Materials,B29VFC4,11777Q209,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,TIH,TOROMONT INDUSTRIES LTD,0.3,89.2,"241,885.00","21,576,142.00","21,576,142.00",Industrials,2897103,891102105,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,LUN,LUNDIN MINING CORP,0.29,11.3,"1,877,948.00","21,220,812.40","21,220,812.40",Materials,2866857,550372106,Toronto Stock Exchange,Canada,CAD,CAD,1
Health Care,WEED,CANOPY GROWTH CORP,0.29,31.32,"667,616.00","20,909,733.12","20,909,733.12",Health Care,BYTN3W0,138035100,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,GIL,GILDAN ACTIVEWEAR INC,0.29,35.59,"583,171.00","20,755,055.89","20,755,055.89",Consumer Discretionary,2254645,375916103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,YRI,YAMANA GOLD INC,0.28,7.27,"2,800,779.00","20,361,663.33","20,361,663.33",Materials,2219279,98462Y100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,CCO,CAMECO CORP,0.27,17.05,"1,163,683.00","19,840,795.15","19,840,795.15",Energy,2166160,13321L108,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,BLDP,BALLARD POWER SYSTEMS INC,0.27,29.78,"666,094.00","19,836,279.32","19,836,279.32",Industrials,2072717,58586108,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,WN,GEORGE WESTON LTD,0.27,95.08,"207,823.00","19,759,810.84","19,759,810.84",Consumer Staples,2956662,961148509,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,X,TMX GROUP LTD,0.26,127.14,"149,954.00","19,065,151.56","19,065,151.56",Financials,B8KH5G7,87262K105,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,FSV,FIRSTSERVICE SUBORDINATE VOTING CO,0.26,174.22,"108,936.00","18,978,829.92","18,978,829.92",Real Estate,BJMKSJ5,3.38E+206,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,DSG,DESCARTES SYSTEMS GROUP INC,0.25,74.45,"248,403.00","18,493,603.35","18,493,603.35",Information Technology,2141941,249906108,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,PKI,PARKLAND CORP,0.24,40.39,"440,210.00","17,780,081.90","17,780,081.90",Energy,BLFHPV8,70137W108,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,EMP.A,EMPIRE LTD CLASS A,0.24,34.79,"503,057.00","17,501,353.03","17,501,353.03",Consumer Staples,2314000,291843407,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,IAG,IA FINANCIAL INC,0.24,55.18,"314,679.00","17,363,987.22","17,363,987.22",Financials,BJ2ZH37,4.51E+108,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,EFN,ELEMENT FLEET MANAGEMENT CORP,0.24,13.38,"1,296,836.00","17,351,665.68","17,351,665.68",Financials,B7FNMQ2,286181201,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,BPY.UN,BROOKFIELD PROPERTY PARTNERS UNITS,0.24,18.41,"942,338.00","17,348,442.58","17,348,442.58",Real Estate,B96G8X3,-,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,LSPD,LIGHTSPEED POS SUBORDINATE VOTING,0.24,89.84,"190,668.00","17,129,613.12","17,129,613.12",Information Technology,BGHVW01,53227R106,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,TFII,TFI INTERNATIONAL INC,0.23,65.53,"260,787.00","17,089,372.11","17,089,372.11",Industrials,BDRXBF4,87241L109,Toronto Stock Exchange,Canada,CAD,CAD,1
Communication,QBR.B,QUEBECOR INC CLASS B,0.23,32.76,"507,093.00","16,612,366.68","16,612,366.68",Communication,2715777,748193208,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,ONEX,ONEX CORP,0.23,73.06,"226,040.00","16,514,482.40","16,514,482.40",Financials,2659518,68272K103,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,SSRM,SSR MINING INC,0.23,25.56,"643,976.00","16,460,026.56","16,460,026.56",Materials,BF7MPL9,784730103,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,IMO,IMPERIAL OIL LTD,0.21,24.16,"646,967.00","15,630,722.72","15,630,722.72",Energy,2454241,453038408,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,REI.UN,RIOCAN REAL ESTATE INVESTMENT TRUS,0.21,16.75,"932,661.00","15,622,071.75","15,622,071.75",Real Estate,2229610,766910103,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,ALA,ALTAGAS LTD,0.21,18.72,"821,604.00","15,380,426.88","15,380,426.88",Utilities,B43WJC5,21361100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,IPL,INTER PIPELINE LTD,0.21,11.87,"1,261,919.00","14,978,978.53","14,978,978.53",Energy,BDD54N3,45833V109,Toronto Stock Exchange,Canada,CAD,CAD,1
